time,open,high,low,close,volume,complete,sma_short,sma_long,signal
2021-05-25,108.774,109.18,108.725,109.148,62226,True,108.99944444444445,108.86561538461538,1
2021-05-26,109.13,109.925,109.038,109.842,76122,True,109.05466666666668,108.93346153846154,1
2021-05-27,109.796,110.201,109.744,109.859,69491,True,109.13188888888888,109.00573076923077,1
2021-05-30,109.815,109.938,109.353,109.584,38652,True,109.20844444444444,109.0718076923077,1
2021-05-31,109.588,109.708,109.329,109.494,58507,True,109.239,109.1261923076923,1
2021-06-01,109.482,109.885,109.387,109.572,60527,True,109.32677777777778,109.15965384615384,1
2021-06-02,109.565,110.321,109.55,110.31,62923,True,109.48333333333333,109.22626923076922,1
2021-06-03,110.286,110.332,109.365,109.511,67791,True,109.56644444444444,109.24865384615383,1
2021-06-06,109.515,109.638,109.19,109.254,54839,True,109.61933333333333,109.24688461538463,1
2021-06-07,109.246,109.559,109.2,109.49,58288,True,109.65733333333333,109.26273076923077,1
2021-06-08,109.5,109.659,109.225,109.638,49309,True,109.63466666666666,109.27280769230768,1
2021-06-09,109.629,109.798,109.307,109.326,68776,True,109.57544444444446,109.27661538461538,1
2021-06-10,109.322,109.844,109.31,109.654,50911,True,109.58322222222222,109.29846153846152,1
2021-06-13,109.638,110.1,109.612,110.074,51123,True,109.64766666666667,109.35457692307692,1
2021-06-14,110.064,110.168,109.988,110.065,51570,True,109.70244444444444,109.40280769230769,1
2021-06-15,110.083,110.722,109.804,110.716,69956,True,109.74755555555555,109.48323076923076,1
2021-06-16,110.66,110.824,110.167,110.234,87115,True,109.82788888888889,109.50353846153845,1
2021-06-17,110.225,110.486,109.942,110.224,96038,True,109.93566666666668,109.53238461538461,1
2021-06-20,110.224,110.355,109.718,110.328,90637,True,110.02877777777778,109.5701923076923,1
2021-06-21,110.284,110.792,110.212,110.676,56290,True,110.14411111111112,109.62834615384615,1
2021-06-22,110.65,111.106,110.625,110.955,60652,True,110.3251111111111,109.70757692307691,1
2021-06-23,110.954,111.116,110.686,110.888,59901,True,110.46222222222222,109.77176923076922,1
2021-06-24,110.872,110.985,110.48,110.765,57393,True,110.539,109.84803846153847,1
2021-06-27,110.785,110.978,110.498,110.62,55237,True,110.60066666666667,109.91415384615385,1
2021-06-28,110.629,110.76,110.43,110.545,61681,True,110.58166666666666,109.98269230769232,1
2021-06-29,110.532,111.122,110.42,111.107,67530,True,110.67866666666667,110.07226923076922,1
2021-06-30,111.111,111.64,111.028,111.526,61551,True,110.82333333333332,110.16373076923077,1
2021-07-01,111.52,111.66,110.952,111.024,73117,True,110.90066666666667,110.20919230769232,1
2021-07-04,110.985,111.191,110.797,110.994,42271,True,110.936,110.25284615384615,1
2021-07-05,110.964,110.988,110.521,110.621,72458,True,110.89888888888889,110.29273076923076,1
2021-07-06,110.63,110.817,110.396,110.618,84313,True,110.86888888888888,110.33596153846155,1
2021-07-07,110.652,110.705,109.534,109.763,107227,True,110.75755555555556,110.34330769230769,1
2021-07-08,109.749,110.26,109.742,110.131,79352,True,110.70322222222222,110.33642307692308,1
2021-07-11,110.152,110.403,109.978,110.366,50421,True,110.68333333333334,110.3693076923077,1
2021-07-12,110.381,110.65,110.2,110.634,65702,True,110.63077777777777,110.42238461538462,1
2021-07-13,110.637,110.7,109.935,109.954,68951,True,110.45611111111111,110.44023076923077,1
2021-07-14,109.97,110.09,109.714,109.849,61427,True,110.32555555555555,110.44834615384616,-1
2021-07-15,109.86,110.343,109.732,110.084,54436,True,110.22444444444444,110.47749999999999,-1
2021-07-18,110.054,110.111,109.065,109.454,80052,True,110.09477777777778,110.4698076923077,-1
2021-07-19,109.447,109.957,109.328,109.858,81295,True,110.01033333333334,110.46149999999999,-1
2021-07-20,109.866,110.388,109.804,110.289,69367,True,110.06877777777778,110.47011538461538,-1
2021-07-21,110.286,110.361,110.015,110.157,63076,True,110.07166666666666,110.4486153846154,-1
2021-07-22,110.176,110.594,110.08,110.55,49404,True,110.09211111111112,110.46076923076923,-1
2021-07-25,110.484,110.585,110.118,110.384,56843,True,110.06433333333334,110.46692307692307,-1
2021-07-26,110.392,110.407,109.584,109.792,67262,True,110.04633333333332,110.44630769230768,-1
2021-07-27,109.766,110.292,109.744,109.916,78249,True,110.05377777777778,110.41707692307692,-1
2021-07-28,109.914,109.949,109.422,109.487,67144,True,109.98744444444444,110.36061538461539,-1
2021-07-29,109.474,109.828,109.361,109.721,62495,True,110.0171111111111,110.31573076923078,-1
2021-08-01,109.664,109.773,109.188,109.311,54415,True,109.95633333333333,110.2598076923077,-1
2021-08-02,109.306,109.343,108.877,109.028,52856,True,109.81622222222222,110.19857692307693,-1
2021-08-03,109.094,109.676,108.721,109.49,66340,True,109.74211111111111,110.15799999999999,-1
2021-08-04,109.484,109.792,109.404,109.778,56052,True,109.65633333333334,110.10688461538462,-1
2021-08-05,109.774,110.357,109.7,110.246,58257,True,109.641,110.05765384615385,-1
2021-08-08,110.332,110.355,110.028,110.336,43839,True,109.70144444444446,110.03119230769231,-1
2021-08-09,110.326,110.6,110.28,110.574,46765,True,109.77455555555555,110.01503846153847,-1
2021-08-10,110.566,110.802,110.31,110.444,57012,True,109.88088888888889,110.00823076923076,-1
2021-08-11,110.419,110.546,110.316,110.44,43070,True,109.96077777777778,110.00138461538462,-1
2021-08-12,110.403,110.477,109.548,109.612,44323,True,109.99422222222222,109.99557692307692,-1
2021-08-15,109.695,109.753,109.114,109.272,58983,True,110.02133333333333,109.96253846153846,1
